record_index,address,file_offset,vector_root,direct_call_count,first_opcode
1,0x0000FA2F,0x00017A8F,False,1,0x90
1,0x0000FA35,0x00017A95,False,2,0x90
1,0x0000FA41,0x00017AA1,False,2,0x90
1,0x0000FA47,0x00017AA7,False,1,0x90
1,0x0000FA5D,0x00017ABD,False,1,0x02
1,0x0000FA69,0x00017AC9,False,1,0xA2
1,0x0000FA75,0x00017AD5,False,1,0x22
1,0x0000FA79,0x00017AD9,False,1,0x22
1,0x0000FAA1,0x00017B01,False,1,0x22
1,0x0000FAA3,0x00017B03,False,1,0x22
1,0x0000FAA4,0x00017B04,False,1,0x22
2,0x00000000,0x00017B40,True,0,0x02
2,0x0000001B,0x00017B5B,True,0,0x01
2,0x00000053,0x00017B93,True,0,0x02
2,0x00000063,0x00017BA3,True,0,0x02
2,0x0000246C,0x00019FAC,False,5,0x88
2,0x00002492,0x00019FD2,False,2,0xBB
2,0x000024AB,0x00019FEB,False,18,0xBB
2,0x000024FA,0x0001A03A,False,1,0xBB
2,0x0000250C,0x0001A04C,False,18,0xF8
2,0x000025AB,0x0001A0EB,False,1,0xE8
2,0x000026E3,0x0001A223,False,1,0xEB
2,0x000026F4,0x0001A234,False,16,0xE8
2,0x00002707,0x0001A247,False,4,0xE8
2,0x0000273A,0x0001A27A,False,7,0xE6
2,0x00002746,0x0001A286,False,2,0xE4
2,0x00002756,0x0001A296,False,1,0xEC
2,0x00002762,0x0001A2A2,False,24,0xEC
2,0x0000276E,0x0001A2AE,False,2,0xA8
2,0x0000279F,0x0001A2DF,False,1,0xF8
2,0x000027B6,0x0001A2F6,False,1,0xEB
2,0x000027BF,0x0001A2FF,False,2,0xD0
2,0x000027E5,0x0001A325,False,2,0xEC
2,0x0000444A,0x0001BF8A,False,1,0xFF
2,0x00004597,0x0001C0D7,False,1,0x90
2,0x0000464A,0x0001C18A,False,2,0x90
2,0x00004681,0x0001C1C1,False,1,0x64
2,0x00004696,0x0001C1D6,False,1,0x74
2,0x0000469B,0x0001C1DB,False,1,0xC5
2,0x00004B3D,0x0001C67D,False,1,0xE5
2,0x00004B65,0x0001C6A5,False,2,0xE4
2,0x00005200,0x0001CD40,False,2,0x90
2,0x0000787F,0x0001F3BF,False,1,0xFC
2,0x0000798D,0x0001F4CD,False,1,0x7F
2,0x00007991,0x0001F4D1,False,2,0x90
2,0x00007F82,0x0001FAC2,False,2,0x90
2,0x00008305,0x0001FE45,False,3,0x90
2,0x000087F6,0x00020336,False,1,0x8B
2,0x0000889F,0x000203DF,False,4,0xF8
2,0x00008F3D,0x00020A7D,False,1,0x90
2,0x000091DA,0x00020D1A,False,3,0xE4
2,0x000098C3,0x00021403,False,1,0x90
