site,file_offset,target,target_scope,ida_caller,structural_caller,caller_confidence
0x001387F0,0x001667F0,0x0014AD14,main-internal,0x00138784:sub_138784,0x00138784,ida-container
0x001387FC,0x001667FC,0x0012D518,main-internal,0x00138784:sub_138784,0x00138784,ida-container
0x00138808,0x00166808,0x0014A7F8,main-internal,0x00138784:sub_138784,0x00138784,ida-container
0x00138820,0x00166820,0x0012D7E4,main-internal,0x00138784:sub_138784,0x00138784,ida-container
0x00138830,0x00166830,0x0014AD14,main-internal,0x00138784:sub_138784,0x00138784,ida-container
0x0013883C,0x0016683C,0x0012D7E4,main-internal,0x00138784:sub_138784,0x00138784,ida-container
0x00138870,0x00166870,0x0012D7E4,main-internal,0x00138784:sub_138784,0x00138784,ida-container
0x00138880,0x00166880,0x0014AD14,main-internal,0x00138784:sub_138784,0x00138784,ida-container
0x0013888C,0x0016688C,0x0012D7E4,main-internal,0x00138784:sub_138784,0x00138784,ida-container
0x001388CC,0x001668CC,0x0012D7E4,main-internal,0x00138784:sub_138784,0x00138784,ida-container
0x00138904,0x00166904,0x0012D0A8,main-internal,0x00138784:sub_138784,0x00138784,ida-container
0x00138914,0x00166914,0x0012D7E4,main-internal,0x00138784:sub_138784,0x00138784,ida-container
0x00138B44,0x00166B44,0x0012D298,main-internal,0x00138784:sub_138784,0x00138784,ida-container
0x00138B50,0x00166B50,0x001370B4,main-internal,0x00138784:sub_138784,0x00138784,ida-container
0x00138B60,0x00166B60,0x0012D0A8,main-internal,0x00138784:sub_138784,0x00138784,ida-container
0x00138B74,0x00166B74,0x0012D0A8,main-internal,0x00138784:sub_138784,0x00138784,ida-container
0x00138B88,0x00166B88,0x0012D0A8,main-internal,0x00138784:sub_138784,0x00138784,ida-container
0x00138BA0,0x00166BA0,0x0012D298,main-internal,0x00138784:sub_138784,0x00138784,ida-container
0x00138BAC,0x00166BAC,0x0012D0A8,main-internal,0x00138784:sub_138784,0x00138784,ida-container
0x00138BB4,0x00166BB4,0xA002CFB0,external-or-runtime,0x00138784:sub_138784,0x00138784,ida-container
0x00138BBC,0x00166BBC,0xA002CFB0,external-or-runtime,0x00138784:sub_138784,0x00138784,ida-container
0x00138BC8,0x00166BC8,0xA002CFB0,external-or-runtime,0x00138784:sub_138784,0x00138784,ida-container
0x00138BD0,0x00166BD0,0xA002CFB0,external-or-runtime,0x00138784:sub_138784,0x00138784,ida-container
0x00138BF0,0x00166BF0,0x0012C8A0,main-internal,0x00138BE4:sub_138BE4,0x00138BE4,ida-container
0x00138C18,0x00166C18,0x0014A81C,main-internal,0x00138BE4:sub_138BE4,0x00138BE4,ida-container
0x00138C50,0x00166C50,0x00130BFC,main-internal,0x00138BE4:sub_138BE4,0x00138BE4,ida-container
0x00138C68,0x00166C68,0x0012CDAC,main-internal,0x00138BE4:sub_138BE4,0x00138BE4,ida-container
0x00138C80,0x00166C80,0x0012CDAC,main-internal,0x00138BE4:sub_138BE4,0x00138BE4,ida-container
0x00138C94,0x00166C94,0x0012C8A0,main-internal,0x00138BE4:sub_138BE4,0x00138BE4,ida-container
0x00138CAC,0x00166CAC,0x0012C8A0,main-internal,0x00138BE4:sub_138BE4,0x00138BE4,ida-container
0x00138CDC,0x00166CDC,0x0012CDF0,main-internal,0x00138BE4:sub_138BE4,0x00138BE4,ida-container
0x00138D08,0x00166D08,0x0012D0A8,main-internal,0x00138CF8:sub_138CF8,0x00138CF8,ida-container
0x00138E24,0x00166E24,0xA002E09C,external-or-runtime,0x00138E00:sub_138E00,0x00138E00,ida-container
0x00138E2C,0x00166E2C,0x0013D4A0,main-internal,0x00138E00:sub_138E00,0x00138E00,ida-container
0x00138E44,0x00166E44,0x0012D0A8,main-internal,0x00138E00:sub_138E00,0x00138E00,ida-container
0x00138E4C,0x00166E4C,0x0014242C,main-internal,0x00138E00:sub_138E00,0x00138E00,ida-container
0x00138E54,0x00166E54,0x0012D0A8,main-internal,0x00138E00:sub_138E00,0x00138E00,ida-container
0x00138E74,0x00166E74,0x0012D064,main-internal,0x00138E68:sub_138E68,0x00138E68,ida-container
0x00138E90,0x00166E90,0x0012D064,main-internal,0x00138E68:sub_138E68,0x00138E68,ida-container
0x00138EC8,0x00166EC8,0x0012D0A8,main-internal,0x00138E68:sub_138E68,0x00138E68,ida-container
0x00138ED8,0x00166ED8,0x0012D0A8,main-internal,0x00138E68:sub_138E68,0x00138E68,ida-container
0x00138EE8,0x00166EE8,0x0012D0A8,main-internal,0x00138E68:sub_138E68,0x00138E68,ida-container
0x00138EF4,0x00166EF4,0xA002E09C,external-or-runtime,0x00138E68:sub_138E68,0x00138E68,ida-container
0x00138EFC,0x00166EFC,0x0013D4A0,main-internal,0x00138E68:sub_138E68,0x00138E68,ida-container
0x00138F1C,0x00166F1C,0x0012D0A8,main-internal,0x00138E68:sub_138E68,0x00138E68,ida-container
0x00138F2C,0x00166F2C,0x00136BE4,main-internal,0x00138E68:sub_138E68,0x00138E68,ida-container
0x00138F5C,0x00166F5C,0x001370B4,main-internal,0x00138E68:sub_138E68,0x00138E68,ida-container
0x00138F6C,0x00166F6C,0x001370B4,main-internal,0x00138E68:sub_138E68,0x00138E68,ida-container
0x00138F78,0x00166F78,0x001370B4,main-internal,0x00138E68:sub_138E68,0x00138E68,ida-container
0x00138F84,0x00166F84,0x001370B4,main-internal,0x00138E68:sub_138E68,0x00138E68,ida-container
0x00138F94,0x00166F94,0x0014242C,main-internal,0x00138E68:sub_138E68,0x00138E68,ida-container
0x00138FBC,0x00166FBC,0x00182FF8,main-internal,0x00138FB8:sub_138FB8,0x00138FB8,ida-container
0x00138FE8,0x00166FE8,0x00150604,main-internal,0x00138FB8:sub_138FB8,0x00138FB8,ida-container
0x00139000,0x00167000,0x001505E4,main-internal,0x00138FB8:sub_138FB8,0x00138FB8,ida-container
0x00139008,0x00167008,0xA002CFB0,external-or-runtime,0x00138FB8:sub_138FB8,0x00138FB8,ida-container
0x00139018,0x00167018,0x0012D0A8,main-internal,0x00138FB8:sub_138FB8,0x00138FB8,ida-container
0x00139020,0x00167020,0x001379AC,main-internal,0x00138FB8:sub_138FB8,0x00138FB8,ida-container
0x00139028,0x00167028,0x001379AC,main-internal,0x00138FB8:sub_138FB8,0x00138FB8,ida-container
0x00139030,0x00167030,0x001379AC,main-internal,0x00138FB8:sub_138FB8,0x00138FB8,ida-container
0x00139060,0x00167060,0xA002D04C,external-or-runtime,0x00138FB8:sub_138FB8,0x00138FB8,ida-container
0x00139090,0x00167090,0x0014242C,main-internal,0x00138FB8:sub_138FB8,0x00138FB8,ida-container
0x0013909C,0x0016709C,0xA002E09C,external-or-runtime,0x00138FB8:sub_138FB8,0x00138FB8,ida-container
0x001390DC,0x001670DC,0xA002CFB0,external-or-runtime,0x00138FB8:sub_138FB8,0x00138FB8,ida-container
0x001390E4,0x001670E4,0x001505C4,main-internal,0x00138FB8:sub_138FB8,0x00138FB8,ida-container
0x00139124,0x00167124,0x00127854,main-internal,0x00138FB8:sub_138FB8,0x00138FB8,ida-container
